InternalId,Title,Location
Doc3674493679,Procurement Summary -CW2346318.pdf,CW2346318/WS3674453053/Doc3674493679.pdf
Doc3674493681,Bynder_NetApp_addendum.pdf,CW2346318/WS3674453053/Doc3674493681.pdf
Doc3674493683,201026-Standard-Terms-of-Service-Bynder-LLC-v.14.pdf,CW2346318/WS3674453053/Doc3674493683.pdf
Doc3686938275,Business Risk Waiver_20220928.pdf,CW2346318/WS3674453053/Doc3686938275.pdf
Doc3688178517,Signed_Contract Documents.pdf,CW2346318/WS3674453055/Doc3688178517.pdf
Doc3674453061,Savings Final Sign-off Template.xlsx,CW2346318/Doc3674453061.xlsx
Doc3656701907,SOW 669 - Transaction processing desk (UCPQ)INR.docx,CW2345836/WS3656701882/Doc3656701907.docx
Doc3656701908,Project Summary_CW2345836.pdf,CW2345836/WS3656701882/Doc3656701908.pdf
Doc3677320054,Signed_Contract Documents.pdf,CW2345836/WS3656701884/WS3656701885/Doc3677320054.pdf
Doc3666566087,PR Details.pdf,CW2345836/WS3656701889/Doc3666566087.pdf
Doc3656701890,Savings Final Sign-off Template.xlsx,CW2345836/Doc3656701890.xlsx
Doc3698047324,DPA_Opus Solutions LLC.docx,CW2347204/WS3698047297/Doc3698047324.docx
Doc3698047325,Procurement Summary _ Opus DPA.pdf,CW2347204/WS3698047297/Doc3698047325.pdf
Doc3700071064,Signed_Contract Documents.pdf,CW2347204/WS3698047299/Doc3700071064.pdf
Doc3700021589,Team Lead Approval for Approved Contract PRIOR TO  Contract Signature.docx,CW2347204/WS3698047304/Doc3700021589.docx
Doc3698047305,Savings Final Sign-off Template.xlsx,CW2347204/Doc3698047305.xlsx
Doc3712424868,Procurement Summary - CW2347576.pdf,CW2347576/WS3712424843/Doc3712424868.pdf
Doc3712424869,20221014 - NetApp - CertMetrics Ingress SSO.docx,CW2347576/WS3712424843/Doc3712424869.docx
Doc3716995833,Signed_Contract Documents.pdf,CW2347576/WS3712424845/Doc3716995833.pdf
